Player Name,Rounds,Average SG Total,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,Year
Charlie Wi,95,.679,60.446,10.700,49.745,89,2010
Hunter Mahan,85,.665,44.530,39.925,4.603,67,2010
Chad Campbell,94,.645,52.228,60.763,-8.535,81,2010
Jeff Overton,89,.630,44.734,15.746,28.988,71,2010
Tom Gillis,97,.616,55.451,23.529,31.921,90,2010
Sean O'Hair,84,.615,39.954,45.300,-5.347,65,2010
John Senden,103,.608,52.938,65.191,-12.255,87,2010
Ricky Barnes,103,.604,50.118,48.141,1.975,83,2010
Heath Slocum,97,.580,42.333,61.077,-18.744,73,2010
Pat Perez,90,.572,47.480,16.045,31.430,83,2010
Brandt Snedeker,89,.572,42.876,8.142,34.734,75,2010
Steve Marino,81,.567,35.720,19.350,16.366,63,2010
Spencer Levin,110,.564,55.243,42.454,12.789,98,2010
Paul Stankowski,62,.561,29.748,12.340,17.409,53,2010
Steve Elkington,74,.557,32.861,13.333,19.528,59,2010
Carl Pettersson,99,.554,46.016,-21.823,67.836,83,2010
Stephen Ames,75,.553,38.142,12.824,25.319,69,2010
Justin Leonard,89,.539,38.840,25.652,13.188,72,2010
Chris Riley,73,.538,33.896,22.103,11.790,63,2010
Jonathan Byrd,85,.524,42.989,40.301,2.685,82,2010
Brian Gay,101,.518,42.478,-17.275,59.751,82,2010
Bryce Molder,84,.507,37.016,2.446,34.567,73,2010
John Rollins,81,.497,37.264,53.217,-15.954,75,2010
Matt Jones,89,.495,39.598,-1.634,41.231,80,2010
D.J. Trahan,92,.494,40.509,78.977,-38.469,82,2010
Shaun Micheel,70,.487,25.826,13.281,12.545,53,2010
Joe Durant,67,.481,27.414,44.148,-16.735,57,2010
Kevin Sutherland,86,.468,36.486,43.541,-7.056,78,2010
Jason Bohn,84,.430,31.852,22.438,9.414,74,2010
Marc Leishman,87,.418,30.066,40.522,-10.459,72,2010
Kenny Perry,69,.401,22.462,36.113,-13.650,56,2010
Graham DeLaet,88,.396,30.104,57.139,-27.036,76,2010
Vaughn Taylor,87,.387,30.602,35.250,-4.647,79,2010
J.J. Henry,92,.360,28.472,11.116,17.356,79,2010
Scott Verplank,74,.360,20.178,18.071,2.103,56,2010
Greg Chalmers,93,.354,30.792,-36.907,67.700,87,2010
Chris Couch,66,.307,18.122,.144,17.975,59,2010
Lucas Glover,75,.297,17.535,24.568,-7.035,59,2010
Ryan Palmer,84,.294,20.868,-9.871,30.735,71,2010
Ryuji Imada,90,.286,24.053,-22.256,46.306,84,2010
Aron Price,70,.259,16.039,14.962,1.077,62,2010
Ángel Cabrera,64,.249,12.699,20.422,-7.724,51,2010
Tim Petrovic,105,.249,23.384,23.972,-.589,94,2010
Michael Sim,64,.235,12.429,-14.975,27.402,53,2010
Ben Curtis,78,.234,15.444,.288,15.156,66,2010
Chris Stroud,90,.229,16.487,12.143,4.343,72,2010
Jerry Kelly,99,.209,17.113,53.947,-36.836,82,2010
Aaron Baddeley,94,.208,18.306,-25.897,44.202,88,2010
Will MacKenzie,72,.202,13.705,43.778,-30.073,68,2010
D.A. Points,90,.199,15.727,23.823,-8.099,79,2010
Boo Weekley,88,.183,13.538,41.296,-27.759,74,2010
Davis Love III,79,.173,11.447,44.895,-33.449,66,2010
Briny Baird,87,.169,13.349,14.881,-1.534,79,2010
Webb Simpson,98,.169,15.505,-18.430,33.930,92,2010
Y.E. Yang,72,.166,9.640,-1.110,10.747,58,2010
Rory Sabbatini,79,.160,10.696,23.986,-13.291,67,2010
Scott McCarron,90,.155,12.888,-29.615,42.499,83,2010
Martin Laird,91,.145,11.450,35.372,-23.921,79,2010
Chad Collins,87,.143,10.706,-36.242,46.945,75,2010
Michael Connell,89,.142,10.972,-15.036,26.006,77,2010
Andres Romero,73,.136,9.791,-8.513,18.303,72,2010
Stuart Appleby,101,.130,11.446,16.597,-5.150,88,2010
Kevin Streelman,90,.130,10.411,6.908,3.502,80,2010
Tom Pernice Jr.,74,.121,7.001,16.458,-9.457,58,2010
Jeev Milkha Singh,59,.118,6.159,8.602,-2.441,52,2010
Charles Warren,64,.109,6.021,28.650,-22.628,55,2010
Brett Wetterich,54,.107,5.670,12.179,-6.509,53,2010
Jimmy Walker,82,.093,6.542,-10.837,17.376,70,2010
Alex Prugh,88,.092,7.367,-8.946,16.310,80,2010
Sergio Garcia,58,.068,2.441,15.273,-12.832,36,2010
Brett Quigley,96,.065,5.737,-1.205,6.942,88,2010
James Driscoll,78,.056,4.139,-18.853,22.989,74,2010
Chris DiMarco,88,.052,4.090,8.965,-4.876,78,2010
Woody Austin,93,.034,2.847,7.778,-4.930,83,2010
Michael Letzig,84,.029,2.357,8.947,-6.593,80,2010
George McNeill,79,.028,1.960,-20.716,22.673,70,2010
Jarrod Lyle,54,.027,1.240,-.850,2.090,46,2010
John Merrick,109,.019,1.716,13.214,-11.499,92,2010
Mark Wilson,87,.009,.735,-10.574,11.307,79,2010
Jason Dufner,87,.006,.433,41.803,-41.374,69,2010
Scott Piercy,88,-.004,-.337,-17.854,17.514,81,2010
Chris Tidland,77,-.004,-.245,-16.239,15.990,68,2010
J.P. Hayes,79,-.035,-2.400,-3.843,1.439,68,2010
Jeff Quinney,91,-.039,-3.101,-34.132,31.028,80,2010
Bob Estes,79,-.048,-3.420,-4.518,1.094,71,2010
Garrett Willis,82,-.053,-3.742,6.001,-9.745,71,2010
Alex Cejka,81,-.073,-4.957,26.900,-31.856,68,2010
Matt Every,60,-.073,-3.725,-15.818,12.093,51,2010
Johnson Wagner,85,-.095,-6.994,-11.865,4.870,74,2010
Josh Teater,101,-.109,-10.022,18.942,-28.966,92,2010
Troy Matteson,84,-.157,-12.245,22.424,-34.671,78,2010
Kris Blanks,91,-.161,-11.938,30.184,-42.123,74,2010
Rocco Mediate,71,-.164,-10.006,23.087,-33.095,61,2010
John Mallinger,78,-.175,-11.393,-14.840,3.442,65,2010
Brian Davis,101,-.181,-16.089,5.955,-22.045,89,2010
Lee Janzen,77,-.199,-13.906,7.088,-20.996,70,2010
Kevin Stadler,86,-.221,-15.902,3.952,-19.853,72,2010
Jay Williamson,76,-.221,-13.468,-4.037,-9.434,61,2010
Tim Herron,79,-.227,-15.693,-27.566,11.871,69,2010
Blake Adams,84,-.233,-17.504,-32.384,14.879,75,2010
Cameron Percy,73,-.236,-13.925,15.032,-28.959,59,2010
Mike Weir,59,-.241,-9.636,-8.831,-.808,40,2010
Joe Ogilvie,99,-.249,-21.395,-29.034,7.636,86,2010
Nathan Green,86,-.254,-20.554,-47.916,27.359,81,2010
James Nitties,92,-.262,-21.248,-31.426,10.175,81,2010
Robert Garrigus,71,-.269,-16.415,-5.503,-10.911,61,2010
David Duval,71,-.278,-15.586,-22.254,6.668,56,2010
Mathias Grönberg,61,-.286,-14.304,-4.951,-9.353,50,2010
Richard Johnson,90,-.293,-21.362,-35.480,14.115,73,2010
Rod Pampling,77,-.314,-21.981,-4.716,-17.267,70,2010
Trevor Immelman,55,-.324,-13.914,-17.255,3.339,43,2010
Paul Goydos,78,-.331,-21.877,-11.567,-10.312,66,2010
Ian Poulter,55,-.335,-11.385,-18.429,7.044,34,2010
Michael Bradley,77,-.392,-26.637,-21.067,-5.573,68,2010
Garth Mulroy,53,-.436,-18.320,6.193,-24.513,42,2010
Troy Merritt,86,-.437,-33.667,-73.439,39.768,77,2010
Cameron Tringale,55,-.465,-20.931,10.916,-31.846,45,2010
Bill Lunde,79,-.466,-31.218,-30.884,-.335,67,2010
Billy Mayfair,78,-.467,-30.341,35.323,-65.665,65,2010
Matt Bettencourt,91,-.487,-34.114,-59.716,25.601,70,2010
Cliff Kresge,50,-.488,-21.981,3.757,-25.736,45,2010
Mathew Goggin,85,-.501,-38.083,-9.282,-28.802,76,2010
Omar Uresti,74,-.512,-31.232,14.848,-46.080,61,2010
Rich Barcelo,70,-.520,-30.134,-38.771,8.637,58,2010
Cameron Beckman,68,-.545,-32.139,-14.905,-17.235,59,2010
Derek Lamely,81,-.592,-37.915,-39.101,1.184,64,2010
Henrik Bjornstad,72,-.626,-36.937,-24.552,-12.385,59,2010
Steve Wheatcroft,74,-.626,-36.283,-48.304,12.021,58,2010
Steve Flesch,78,-.651,-42.323,-37.071,-5.248,65,2010
Brenden Pappas,66,-.731,-40.208,-35.036,-5.173,55,2010
Jeff Maggert,76,-.741,-46.690,-24.203,-22.489,63,2010
Greg Owen,69,-.745,-46.190,-6.699,-39.492,62,2010
Brian Stuard,81,-.746,-52.981,-73.366,20.383,71,2010
Roland Thatcher,72,-.788,-53.607,-27.747,-25.859,68,2010
Brent Delahoussaye,57,-.811,-38.109,-49.153,11.045,47,2010
Skip Kendall,58,-.832,-40.758,-57.216,16.457,49,2010
Nicholas Thompson,88,-.875,-67.362,.870,-68.234,77,2010
Martin Flores,75,-.883,-56.522,-49.692,-6.829,64,2010
Ted Purdy,86,-.892,-66.912,-58.811,-8.102,75,2010
Roger Tambellini,77,-.925,-57.377,-9.339,-48.037,62,2010
John Daly,63,-.989,-46.499,-15.740,-30.757,47,2010
Mark Calcavecchia,50,-.996,-32.864,-4.162,-28.705,33,2010
Andrew McLardy,52,-1.005,-44.240,-36.627,-7.612,44,2010
David Lutterus,69,-1.044,-58.458,-39.618,-18.839,56,2010
Daniel Chopra,74,-1.096,-73.445,-97.884,24.436,67,2010
Craig Bowden,56,-1.104,-52.984,-33.504,-19.479,48,2010
Jeff Gove,57,-1.164,-51.230,-9.308,-41.921,44,2010
Steve Lowery,67,-1.177,-65.901,-44.490,-21.412,56,2010
Vance Veazey,58,-1.444,-69.305,-63.790,-5.513,48,2010
Chris Wilson,65,-1.631,-84.824,-50.005,-34.821,52,2010
Jerod Turner,54,-1.885,-75.394,-75.322,-.071,40,2010
Justin Bolli,55,-1.918,-80.550,-57.160,-23.390,42,2010
Greg Kraft,52,-2.041,-79.611,-72.400,-7.211,39,2010
Brad Faxon,58,-2.093,-100.480,-120.894,20.410,48,2010
Kevin Johnson,62,-2.147,-105.189,-87.938,-17.253,49,2010
