Player Name,Rounds,Average Scrambling,Par or Better,Missed GIR,Year
Matt Bettencourt,91,57.98,345,595,2010
Bill Haas,87,57.96,273,471,2010
Brett Quigley,96,57.93,296,511,2010
Jerry Kelly,99,57.91,322,556,2010
Jarrod Lyle,54,57.84,166,287,2010
Lee Janzen,77,57.81,259,448,2010
Zach Johnson,93,57.66,316,548,2010
John Senden,103,57.65,294,510,2010
Matt Every,60,57.61,212,368,2010
Skip Kendall,58,57.57,194,337,2010
Camilo Villegas,78,57.50,253,440,2010
Jason Bohn,84,57.49,280,487,2010
Bill Lunde,79,57.48,265,461,2010
Chris Tidland,77,57.47,254,442,2010
Vaughn Taylor,87,57.46,285,496,2010
Blake Adams,84,57.43,282,491,2010
Chris Stroud,90,57.40,260,453,2010
Justin Leonard,89,57.32,317,553,2010
Martin Laird,91,57.31,302,527,2010
Roland Thatcher,72,57.24,253,442,2010
Aaron Baddeley,94,57.10,342,599,2010
Stewart Cink,84,57.08,258,452,2010
Derek Lamely,81,57.00,293,514,2010
Rocco Mediate,71,56.96,217,381,2010
John Merrick,109,56.93,308,541,2010
Cameron Percy,73,56.91,206,362,2010
Marc Leishman,87,56.90,297,522,2010
Josh Teater,101,56.83,316,556,2010
Jeff Overton,89,56.80,288,507,2010
Joe Ogilvie,99,56.69,322,568,2010
Kevin Streelman,90,56.59,292,516,2010
Rory Sabbatini,79,56.48,257,455,2010
Vijay Singh,75,56.46,236,418,2010
Alex Cejka,81,56.42,268,475,2010
Robert Allenby,76,56.37,239,424,2010
Steve Marino,81,56.33,267,474,2010
Chris Couch,66,56.28,224,398,2010
Y.E. Yang,72,56.18,241,429,2010
Daniel Chopra,74,56.16,287,511,2010
Geoff Ogilvy,62,56.16,196,349,2010
Michael Letzig,84,56.08,272,485,2010
Kevin Stadler,86,56.00,252,450,2010
Dustin Johnson,83,55.81,264,473,2010
Troy Matteson,84,55.79,241,432,2010
J.P. Hayes,79,55.77,256,459,2010
Jeff Maggert,76,55.77,227,407,2010
Brenden Pappas,66,55.61,208,374,2010
Ryan Palmer,84,55.56,290,522,2010
Brendon de Jonge,114,55.52,317,571,2010
Nick Watney,91,55.51,267,481,2010
Billy Mayfair,78,55.50,212,382,2010
Bubba Watson,77,55.50,242,436,2010
George McNeill,79,55.49,268,483,2010
Paul Stankowski,62,55.48,157,283,2010
Alex Prugh,88,55.35,269,486,2010
Garrett Willis,82,55.32,234,423,2010
Ángel Cabrera,64,55.15,214,388,2010
Steve Flesch,78,55.04,273,496,2010
Paul Goydos,78,55.02,263,478,2010
Troy Merritt,86,54.98,287,522,2010
D.J. Trahan,92,54.83,261,476,2010
David Lutterus,69,54.81,222,405,2010
Scott Piercy,88,54.79,280,511,2010
Charles Warren,64,54.58,161,295,2010
Sergio Garcia,58,54.57,173,317,2010
Justin Bolli,55,54.52,169,310,2010
Brian Stuard,81,54.45,257,472,2010
Brent Delahoussaye,57,54.43,166,305,2010
Davis Love III,79,54.37,230,423,2010
Roger Tambellini,77,54.26,204,376,2010
Mathew Goggin,85,54.21,251,463,2010
Rich Barcelo,70,54.20,239,441,2010
Lucas Glover,75,54.15,235,434,2010
Kris Blanks,91,54.06,233,431,2010
Adam Scott,70,54.03,201,372,2010
Martin Flores,75,54.00,243,450,2010
Chris Wilson,65,53.85,210,390,2010
John Daly,63,53.53,182,340,2010
Garth Mulroy,53,53.41,141,264,2010
Andrew McLardy,52,53.40,157,294,2010
Greg Kraft,52,53.37,174,326,2010
Cameron Tringale,55,53.23,140,263,2010
Greg Owen,69,52.73,203,385,2010
Ted Purdy,86,52.44,279,532,2010
David Duval,71,52.26,220,421,2010
Robert Garrigus,71,51.98,197,379,2010
Steve Wheatcroft,74,51.84,225,434,2010
Kevin Johnson,62,51.32,194,378,2010
Mark Calcavecchia,50,50.96,133,261,2010
Jerod Turner,54,50.88,173,340,2010
Vance Veazey,58,50.72,177,349,2010
Steve Lowery,67,50.38,197,391,2010
Jeff Gove,57,50.36,140,278,2010
Henrik Bjornstad,72,49.59,182,367,2010
Nicholas Thompson,88,49.38,240,486,2010
Brad Faxon,58,47.49,189,398,2010
