Rank this week,Rank last week,Player Name,Rounds,Average,Total Distance,Total Drives,Year
158,158,Mark Wilson,56,278.0,"28,911",104,2013
159,159,David Lynn,70,277.9,"38,077",137,2013
160,160,Jeff Maggert,63,277.6,"34,980",126,2013
161,161,Graeme McDowell,53,277.5,"26,916",97,2013
162,162,David Toms,49,277.4,"24,133",87,2013
163,163,Aaron Watkins,46,277.1,"24,388",88,2013
164,164,Chris Stroud,88,277.0,"48,753",176,2013
165,165,Greg Chalmers,77,276.8,"40,414",146,2013
T166,T166,Jason Bohn,70,276.3,"38,680",140,2013
T166,T166,Justin Leonard,86,276.3,"47,520",172,2013
168,168,Lee Williams,62,275.6,"33,068",120,2013
169,169,Jim Furyk,80,275.3,"42,952",156,2013
T170,T170,Ken Duke,87,275.1,"47,871",174,2013
T170,T170,Brian Gay,79,275.1,"43,193",157,2013
T170,T170,Darron Stiles,51,275.1,"26,964",98,2013
173,173,Ben Curtis,59,274.9,"31,333",114,2013
174,174,Dicky Pride,71,274.8,"36,825",134,2013
175,175,Tim Clark,64,273.9,"33,143",121,2013
176,176,Bryce Molder,82,273.8,"43,801",160,2013
T177,T177,Jerry Kelly,75,273.2,"40,984",150,2013
T177,T177,Jin Park,52,273.2,"27,321",100,2013
179,179,Colt Knost,69,271.7,"35,317",130,2013
180,180,Mike Weir,60,270.5,"31,380",116,2013
1,1,Bubba Watson,68,315.5,"41,652",132,2012
2,2,Charlie Beljan,61,311.6,"33,027",106,2012
3,3,Robert Garrigus,89,310.3,"55,241",178,2012
4,4,Dustin Johnson,70,310.2,"40,948",132,2012
5,5,Rory McIlroy,60,310.1,"32,868",106,2012
6,6,J.B. Holmes,90,309.7,"50,785",164,2012
7,7,Jason Day,57,308.6,"33,333",108,2012
8,8,Kyle Stanley,86,306.9,"51,249",167,2012
9,9,John Daly,50,306.7,"28,216",92,2012
T10,T10,Adam Scott,59,304.6,"35,335",116,2012
T10,T10,Jhonattan Vegas,77,304.6,"45,697",150,2012
12,12,Scott Piercy,95,304.5,"57,860",190,2012
13,13,Graham DeLaet,79,304.3,"45,649",150,2012
14,14,Jason Kokrak,79,304.1,"45,616",150,2012
15,15,Ryan Palmer,81,303.1,"48,797",161,2012
16,16,Keegan Bradley,90,302.7,"52,663",174,2012
17,17,Scott Stallings,78,302.4,"46,871",155,2012
18,18,Gary Woodland,70,301.6,"40,413",134,2012
19,19,Seung-Yul Noh,105,300.4,"58,274",194,2012
20,20,Harris English,98,300.3,"58,851",196,2012
21,21,Bobby Gates,87,300.2,"49,837",166,2012
22,22,Ángel Cabrera,54,299.7,"29,375",98,2012
T23,T23,Troy Kelly,68,299.5,"37,140",124,2012
T23,T23,Louis Oosthuizen,65,299.5,"37,141",124,2012
25,25,Brandt Jobe,57,299.2,"31,714",106,2012
26,26,Troy Matteson,100,298.9,"56,196",188,2012
27,27,Josh Teater,97,298.6,"55,543",186,2012
28,28,Martin Laird,77,298.2,"42,945",144,2012
29,29,Lee Westwood,60,298.1,"31,596",106,2012
30,30,Harrison Frazar,56,297.7,"32,147",108,2012
31,31,Sean O'Hair,84,297.5,"49,980",168,2012
32,32,Tiger Woods,69,297.4,"39,856",134,2012
T33,T33,Erik Compton,81,297.2,"43,385",146,2012
T33,T33,Tommy Gainey,98,297.2,"57,955",195,2012
35,35,Carl Pettersson,92,297.1,"54,366",183,2012
T36,T36,Nick Watney,97,296.8,"55,800",188,2012
T36,T36,Boo Weekley,74,296.8,"39,173",132,2012
38,38,Jimmy Walker,101,296.5,"59,902",202,2012
39,39,Davis Love III,64,296.3,"37,929",128,2012
40,40,Bo Van Pelt,84,296.1,"49,152",166,2012
41,41,Greg Owen,90,295.9,"53,268",180,2012
42,42,Charl Schwartzel,56,295.8,"31,652",107,2012
43,43,Mark Anderson,75,295.7,"40,806",138,2012
T44,T44,Daniel Chopra,55,295.6,"30,151",102,2012
T44,T44,Edward Loar,59,295.6,"31,329",106,2012
46,46,Charley Hoffman,88,295.5,"51,712",175,2012
T47,T47,John Rollins,81,295.4,"45,487",154,2012
T47,T47,Vijay Singh,99,295.4,"58,486",198,2012
49,49,Martin Flores,95,295.0,"54,877",186,2012
50,50,Robert Karlsson,54,294.7,"30,353",103,2012
T51,T51,Ernie Els,80,294.6,"45,951",156,2012
T51,T51,Charles Howell III,98,294.6,"57,448",195,2012
53,53,Phil Mickelson,79,294.4,"46,511",158,2012
54,54,Chris Couch,61,293.8,"34,664",118,2012
T55,T55,Matt Jones,53,293.7,"28,779",98,2012
T55,T55,Garth Mulroy,59,293.7,"33,477",114,2012
57,57,Padraig Harrington,67,293.6,"36,995",126,2012
T58,T58,Kevin Chappell,91,293.3,"51,033",174,2012
T58,T58,John Merrick,83,293.3,"46,346",158,2012
